,kind,videoId,publishedAt,channelId,title,description,thumbnails,channelTitle,playlistId,position,resourceId,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
0,youtube#video,fjnPRpLMF5Y,2020-09-18T16:54:15Z,UCCXzeJFYHpUtjYtaKI4t1UQ,Uber REGULAMENTADO NO BRASIL!!!,"Seja um motorista Uber
https://partners.uber.com/i/rdtmk7nhue

Inscreva-se no meu canal
https://www.youtube.com/channel/UCyMLM7sI0xssm3MQHCiSHyA","{'default': {'url': 'https://i.ytimg.com/vi/fjnPRpLMF5Y/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/fjnPRpLMF5Y/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/fjnPRpLMF5Y/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/fjnPRpLMF5Y/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/fjnPRpLMF5Y/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Jamille Souza,PLlBw3F15IXehbaG16XZ0eokoNWDKjFzQ-,0,"{'kind': 'youtube#video', 'videoId': 'fjnPRpLMF5Y'}",792,63,13,0,20
1,youtube#video,aDzF0IBIMto,2020-09-18T16:54:42Z,UCCXzeJFYHpUtjYtaKI4t1UQ,Uber tem Qualidade de Vida?,"════ CADASTRO DE MOTORISTAS ═════
🚘Seja um Motorista UBER (Cadastro Rápido)
https://partners.uber.com/i/rdtmk7nhue

🏍 Seja um MOTOBOY pelo UberEats (Entrega de Comida)
https://partners.uber.com/i/rdtmk7nhue 


Instagram: marcelouberforadadcurva.
Localiza Hertz Centro - Porto Alegre
(51) 2108-1555


FAÇA PARCERIA COM A MUV PARTNERS E CONHEÇA AS VANTAGENS DE DIRIGIR COM APLICATIVOS

CONTATOS PELO WHATSAPP EM:
Porto Alegre - 51 99721 5638
Recife - 81 98222 0122
Salvador. - 71 99949 1112
Campinas  - 19 99329 4564
Curitiba - 41 99166 6354
São Paulo - 11 99584 9476
Belo Horizonte - 31 97178 6257","{'default': {'url': 'https://i.ytimg.com/vi/aDzF0IBIMto/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/aDzF0IBIMto/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/aDzF0IBIMto/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/aDzF0IBIMto/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/aDzF0IBIMto/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Jamille Souza,PLlBw3F15IXehbaG16XZ0eokoNWDKjFzQ-,1,"{'kind': 'youtube#video', 'videoId': 'aDzF0IBIMto'}",4636,464,25,0,74
2,youtube#video,feEng_xNq64,2020-09-18T16:55:04Z,UCCXzeJFYHpUtjYtaKI4t1UQ,AUMENTEM AS TARIFAS,"CADASTRO RÁPIDO DE MOTORISTAS
🚘Seja um Motorista UBER (Cadastro Rápido)
https://partners.uber.com/i/rdtmk7nhue

🏍 Seja um MOTOBOY pelo UberEats (Entrega de Comida)
https://partners.uber.com/i/rdtmk7nhue


Instagram @marcelouberforadacurva","{'default': {'url': 'https://i.ytimg.com/vi/feEng_xNq64/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/feEng_xNq64/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/feEng_xNq64/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/feEng_xNq64/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/feEng_xNq64/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Jamille Souza,PLlBw3F15IXehbaG16XZ0eokoNWDKjFzQ-,2,"{'kind': 'youtube#video', 'videoId': 'feEng_xNq64'}",10213,1110,42,0,291
3,youtube#video,M9C_VdZZXqk,2020-09-18T16:55:14Z,UCCXzeJFYHpUtjYtaKI4t1UQ,PARALIZAÇÃO MUNDIAL DE MOTORISTAS,"CADASTRO RÁPIDO DE MOTORISTAS
🚘Seja um Motorista UBER (Cadastro Rápido)
https://partners.uber.com/i/rdtmk7nhue

🏍 Seja um MOTOBOY pelo UberEats (Entrega de Comida)
https://partners.uber.com/i/rdtmk7nhue


Instagram @marcelouberforadacurva","{'default': {'url': 'https://i.ytimg.com/vi/M9C_VdZZXqk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/M9C_VdZZXqk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/M9C_VdZZXqk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/M9C_VdZZXqk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/M9C_VdZZXqk/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Jamille Souza,PLlBw3F15IXehbaG16XZ0eokoNWDKjFzQ-,3,"{'kind': 'youtube#video', 'videoId': 'M9C_VdZZXqk'}",19076,1690,76,0,317
4,youtube#video,gpIswmMIZSI,2020-09-18T16:55:31Z,UCCXzeJFYHpUtjYtaKI4t1UQ,A NOTÍCIA É QUE TÁ TODO MUNDO IRREGULAR,"link do site para cadastro do MEI/INSS

www.portaldoempreendedor.gov.br

==============================

Plataforma de controle de gastos DRIVE YOU
http://www.driveyou.com.br/index.aspx?id=ce21578c-efc4-4467-a265-efc62d13dcea

==============================

CADASTRO RÁPIDO DE MOTORISTAS
🚘Seja um Motorista UBER (Cadastro Rápido)
https://partners.uber.com/i/rdtmk7nhue

🏍 Seja um MOTOBOY pelo UberEats (Entrega de Comida)
https://partners.uber.com/i/rdtmk7nhue

==============================","{'default': {'url': 'https://i.ytimg.com/vi/gpIswmMIZSI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/gpIswmMIZSI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/gpIswmMIZSI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/gpIswmMIZSI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/gpIswmMIZSI/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Jamille Souza,PLlBw3F15IXehbaG16XZ0eokoNWDKjFzQ-,4,"{'kind': 'youtube#video', 'videoId': 'gpIswmMIZSI'}",41365,2959,138,0,327
5,youtube#video,29WDUQy39GQ,2020-09-18T16:55:48Z,UCCXzeJFYHpUtjYtaKI4t1UQ,VOCÊ VAI PEDIR FALÊNCIA NOS APPS,"Plataforma de controle de gastos DRIVE YOU
http://www.driveyou.com.br/index.aspx?id=ce21578c-efc4-4467-a265-efc62d13dcea


PROTEÇÃO FORA DA CURVA
SEGURO DESENHADO PARA MOTORISTA DE APLICATIVO

Whatsapp  51 98687-7327

Assistência:
Odontológica, funeral, farmácia, super mercado e muito mais.


==================================
CADASTRO RÁPIDO DE MOTORISTAS
🚘Seja um Motorista UBER (Cadastro Rápido)
https://partners.uber.com/i/rdtmk7nhue

🏍 Seja um MOTOBOY pelo UberEats (Entrega de Comida)
https://partners.uber.com/i/rdtmk7nhue

============================

PLANO DE ASSISTÊNCIA PARA MOTORISTA DE APLICATIVO

Whatsapp  51 98687-7327

Assistência:
Odontológica, funeral, farmácia, super mercado e muito mais.","{'default': {'url': 'https://i.ytimg.com/vi/29WDUQy39GQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/29WDUQy39GQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/29WDUQy39GQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/29WDUQy39GQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/29WDUQy39GQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Jamille Souza,PLlBw3F15IXehbaG16XZ0eokoNWDKjFzQ-,5,"{'kind': 'youtube#video', 'videoId': '29WDUQy39GQ'}",21891,1442,153,0,152
6,youtube#video,mLU2ZSVMkOU,2020-09-18T16:56:14Z,UCCXzeJFYHpUtjYtaKI4t1UQ,SAIA DOS APLICATIVOS,"ASSESSORIA JURÍDICA PARA MOTORISTAS:
011 96168 1214
==============================
FAÇA PARCERIA COM A MUV PARTNERS

CONTATOS PELO WHATSAPP EM:
Porto Alegre - 51 99721 5638

+++++++++++++++++++++++++++++

PROTEÇÃO FORA DA CURVA
SEGURO DESENHADO PARA MOTORISTA DE APLICATIVO

Whatsapp  51 98687-7327
==============================
Assistência:
Odontológica, funeral, farmácia, super mercado e muito mais.

____________________________________________

Plataforma de controle de gastos DRIVE YOU
http://www.driveyou.com.br/index.aspx?id=ce21578c-efc4-4467-a265-efc62d13dcea

==================================
CADASTRO RÁPIDO DE MOTORISTAS
🚘Seja um Motorista UBER (Cadastro Rápido)
https://partners.uber.com/i/rdtmk7nhue

🏍 Seja um MOTOBOY pelo UberEats (Entrega de Comida)
https://partners.uber.com/i/rdtmk7nhue

==================================","{'default': {'url': 'https://i.ytimg.com/vi/mLU2ZSVMkOU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/mLU2ZSVMkOU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/mLU2ZSVMkOU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/mLU2ZSVMkOU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/mLU2ZSVMkOU/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Jamille Souza,PLlBw3F15IXehbaG16XZ0eokoNWDKjFzQ-,6,"{'kind': 'youtube#video', 'videoId': 'mLU2ZSVMkOU'}",23372,1614,262,0,155
7,youtube#video,dr2T5NC1avc,2020-09-18T16:56:21Z,UCCXzeJFYHpUtjYtaKI4t1UQ,MOTORISTA ESCRAVO,"INSTAGRAM; @marcelouberforadacurva

==================================

CADASTRO PARA O CURSO MOTORISTA FORA DA CURVA https://motoristaforadacurva.com.br/pre-inscricoes/


==============================APLICATIVO PARA GESTÃO FINANCEIRA DE MOTORISTAS DRIVE YOU

http://www.driveyou.com.br/index.aspx?id=ce21578c-efc4-4467-a265-efc62d13dcea

https://www.driveyou.com.br/index.aspx?id=ce21578c-efc4-4467-a265-efc62d13dcea

==================================
PLANO DE ASSISTÊNCIA PARA MOTORISTA DE APLICATIVO

Whatsapp  51 98687-7327

Assistência:
Odontológica, funeral, farmácia, super mercado e muito mais.","{'default': {'url': 'https://i.ytimg.com/vi/dr2T5NC1avc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dr2T5NC1avc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dr2T5NC1avc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/dr2T5NC1avc/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/dr2T5NC1avc/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Jamille Souza,PLlBw3F15IXehbaG16XZ0eokoNWDKjFzQ-,7,"{'kind': 'youtube#video', 'videoId': 'dr2T5NC1avc'}",6623,658,51,0,62
8,youtube#video,Jzxx5eIMYUU,2020-09-18T16:56:58Z,UCCXzeJFYHpUtjYtaKI4t1UQ,UBER limitando carga horária dos motoristas em 12 horas,"DRIVE YOU
APLICATIVO PARA GESTÃO FINANCEIRA DE MOTORISTAS 

https://www.driveyou.com.br/index.aspx?id=ce21578c-efc4-4467-a265-efc62d13dcea
__________________________________


Cadastro rápido Bora Brasil


https://desenvolvimentoborabrasil.info/indicacao2/B564


Se vc vai se cadastrar como motorista, preencha os dados completos no campo Motorista.

Más se vc só quer cadastrar novos Motoristas e não vai dirigir, preencha no campo Master (nome completo, CPF, e-mail e telefone)

para mais dúvidas entre em contato pelo número +551141955477 de seg a sexta.
_______________________________________

LOCADORA MUV PARTNERS
CARROS 2019 COM KM GNV E KM LIVRE

CONTATOS PELO WHATSAPP EM:
Porto Alegre - 51 99721 5638
--------------------------------------------------------------

INSTAGRAM; @marcelouberforadacurva
_____________________________
CURSO MOTORISTA FORA DA CURVA 
https://motoristaforadacurva.com.br/curso-mfc/

_____________________________________


DRIVE YOU
APLICATIVO PARA GESTÃO FINANCEIRA DE MOTORISTAS 

https://www.driveyou.com.br/index.aspx?id=ce21578c-efc4-4467-a265-efc62d13dcea
__________________________________


CADASTRO 99 POP
Olá, estou te indicando para ser motorista 99POP e ganhar mais dinheiro! https://d.99app.com/ry8cr0GecAJSG?t=whatsApp .

CADASTRO RÁPIDO DE MOTORISTAS
🚘Seja um Motorista UBER (Cadastro Rápido)
https://partners.uber.com/i/rdtmk7nhue

🏍 Seja um MOTOBOY pelo UberEats (Entrega de Comida)
https://partners.uber.com/i/rdtmk7nhue

========================
--------------------------------------------------------------","{'default': {'url': 'https://i.ytimg.com/vi/Jzxx5eIMYUU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Jzxx5eIMYUU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Jzxx5eIMYUU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Jzxx5eIMYUU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Jzxx5eIMYUU/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Jamille Souza,PLlBw3F15IXehbaG16XZ0eokoNWDKjFzQ-,8,"{'kind': 'youtube#video', 'videoId': 'Jzxx5eIMYUU'}",3667,346,23,0,70
9,youtube#video,CFM7TsmRmS0,2020-09-18T16:57:15Z,UCCXzeJFYHpUtjYtaKI4t1UQ,Quais são os nossos direitos?,"ADVOGADO ESPECIALISTA EM APLICATIVOS. 
CONTATO NO WHATSAPP 15 - 991539975

_____________________________________

LOCADORA MUV PARTNERS
CARROS 2019 COM KM GNV E KM LIVRE

CONTATOS PELO WHATSAPP EM:
Porto Alegre - 51 99721 5638

_____________________________________

Cadastro rápido Bora Brasil

https://desenvolvimentoborabrasil.info/indicacao2/B844

Se vc vai se cadastrar como motorista, preencha os dados completos no campo Motorista.
_____________________________________

Inscreva-se no meu novo canal
Território Fora da Curva
https://www.youtube.com/channel/UCCnR4sRxcy6Bm20c7M3UoGA

BAIXE O CORNERSHOP APP E GANHE 3 ENTREGAS GRÁTIS POR ESSE LINK
https://cornershopapp.com/pt-br/r/gj1e2a6r1

E já faça seu cadastro na Cornershop usando este link https://cornershopapp.com/sh/gj1e2a6r1 MÁS SEJA RÁPIDO POIS AS VAGAS SÃO LIMITADAS!!!!
____________________________________


VOU ESTAR FALANDO MAIS SOBRE A CORNERSHOP NO MEU INSTAGRAMpp @marcelouberforadacurva

_____________________________________


DRIVE YOU
APLICATIVO PARA GESTÃO FINANCEIRA DE MOTORISTAS 

https://www.driveyou.com.br/index.aspx?id=ce21578c-efc4-4467-a265-efc62d13dcea

_____________________________________


Entre no meu grupo do Telegram e saiba tudo antes!

https://t.me/canalforadacurva


____________________________________

link para Motoristas do Rio de Janeiro que foram excluídos injustamente ou procuram seus direitos trabalhistas. 

https://chat.whatsapp.com/CUpV58cbGa9AGsetlMkEVU

demais motoristas podem ligar normalmente e se informar sobre as mesmas questões da sua cidade.

_______________________________________
LOCADORA MUV PARTNERS
CARROS 2019 COM KM GNV E KM LIVRE

CONTATOS PELO WHATSAPP EM:
Porto Alegre - 51 99721 5638
--------------------------------------------------------------

INSTAGRAM; @marcelouberforadacurva
_____________________________
CURSO MOTORISTA FORA DA CURVA 
https://motoristaforadacurva.com.br/curso-mfc/

_____________________________________


DRIVE YOU
APLICATIVO PARA GESTÃO FINANCEIRA DE MOTORISTAS 

https://www.driveyou.com.br/index.aspx?id=ce21578c-efc4-4467-a265-efc62d13dcea
__________________________________

Cadastro rápido Bora Brasil

https://desenvolvimentoborabrasil.info/indicacao2/B844

Se vc vai se cadastrar como motorista, preencha os dados completos no campo Motorista.

para mais dúvidas entre em contato pelo número +551141955477

_______________________________________

CADASTRO 99 POP
Olá, estou te indicando para ser motorista 99POP e ganhar mais dinheiro! https://d.99app.com/ry8cr0GecAJSG?t=whatsApp .

CADASTRO RÁPIDO DE MOTORISTAS
🚘Seja um Motorista UBER (Cadastro Rápido)
https://partners.uber.com/i/rdtmk7nhue

🏍 Seja um MOTOBOY pelo UberEats (Entrega de Comida)
https://partners.uber.com/i/rdtmk7nhue

========================
--------------------------------------------------------------
INSTAGRAM; @marcelouberforadacurva
_____________________________________

DRIVE YOU
APLICATIVO PARA GESTÃO FINANCEIRA DE MOTORISTAS 

https://www.driveyou.com.br/index.aspx?id=ce21578c-efc4-4467-a265-efc62d13dcea","{'default': {'url': 'https://i.ytimg.com/vi/CFM7TsmRmS0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/CFM7TsmRmS0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/CFM7TsmRmS0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/CFM7TsmRmS0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/CFM7TsmRmS0/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Jamille Souza,PLlBw3F15IXehbaG16XZ0eokoNWDKjFzQ-,9,"{'kind': 'youtube#video', 'videoId': 'CFM7TsmRmS0'}",1741,203,11,0,40
