,videoId,publishedAt,channelId,title,description,publishTime
0,XDOI2Ggcf-Y,2018-08-16T00:14:46Z,UCL9sjSFsQdAKxN9H7LfKLdw,Como Fazer R$ 2500.00 Por Semana Na Uber,SEJA UM MOTORISTA 99 POP ( aprovação rápida e sem burocracia) https://d.99app.com/ry8dPoZrXytWd?t=mail&share_media=Email.,2018-08-16T00:14:46Z
1,,2015-12-21T17:50:36Z,UCL9sjSFsQdAKxN9H7LfKLdw,ESCOLA PARA UBER,CANAL NEM UM POUCO POLITICAMENTE CORRETO E SEM FRESCURAGEM.,2015-12-21T17:50:36Z
2,uWQNnPDRQYU,2018-09-16T23:00:03Z,UCL9sjSFsQdAKxN9H7LfKLdw,Fui Buscar Meu Jac T40 e Deu Confusão,SEJA UM MOTORISTA 99 POP ( aprovação rápida e sem burocracia) https://d.99app.com/ry8dPoZrXytWd?t=mail&share_media=Email.,2018-09-16T23:00:03Z
3,i4GTAOwtcOU,2018-03-27T03:26:02Z,UCL9sjSFsQdAKxN9H7LfKLdw,Aprenda a Ganhar Com Carro Alugado Na Uber,SEJA UM MOTORISTA 99 POP ( aprovação rápida e sem burocracia) https://d.99app.com/ry8dPoZrXytWd?t=mail&share_media=Email.,2018-03-27T03:26:02Z
4,8PPEf3l3z4M,2018-08-15T01:00:01Z,UCL9sjSFsQdAKxN9H7LfKLdw,Viagens De Destino Ilimitada,SEJA UM MOTORISTA 99 POP ( aprovação rápida e sem burocracia) https://d.99app.com/ry8dPoZrXytWd?t=mail&share_media=Email.,2018-08-15T01:00:01Z
5,SMXNrKUZI18,2019-02-25T15:36:04Z,UCL9sjSFsQdAKxN9H7LfKLdw,Curso Mini ìndice (Parte 1),SOLICITE SEU CURSO GRATUITO DE DAY TRADE E AMOSTRA DE OPÇÕES EM http://www.escolaparauber.com.br/ ATENÇÃO: OS CURSOS VÃO SUBIR A ...,2019-02-25T15:36:04Z
6,wL1I70srdr4,2020-01-02T13:05:28Z,UCL9sjSFsQdAKxN9H7LfKLdw,Setup Gratuito Que Prometi (Mini Ìndice),SOLICITE SEU CURSO GRATUITO DE DAY TRADE E AMOSTRA DE OPÇÕES EM http://www.escolaparauber.com.br/ ATENÇÃO: OS CURSOS VÃO SUBIR A ...,2020-01-02T13:05:28Z
7,5SSbGKxonbw,2019-06-05T14:47:14Z,UCL9sjSFsQdAKxN9H7LfKLdw,Aprenda Operar Mini Dólar na Prática (ao Vivo),SOLICITE SEU CURSO GRATUITO DE DAY TRADE E AMOSTRA DE OPÇÕES EM http://www.escolaparauber.com.br/ ATENÇÃO: OS CURSOS VÃO SUBIR A ...,2019-06-05T14:47:14Z
8,Q4ET0-dAR2U,2019-04-13T15:41:23Z,UCL9sjSFsQdAKxN9H7LfKLdw,Motivo Da Minha Exclusão Da Uber,SOLICITE SEU CURSO GRATUITO DE DAY TRADE E AMOSTRA DE OPÇÕES EM http://www.escolaparauber.com.br/ ATENÇÃO: OS CURSOS VÃO SUBIR A ...,2019-04-13T15:41:23Z
9,6X6oQABAxPw,2018-05-04T04:41:04Z,UCL9sjSFsQdAKxN9H7LfKLdw,Funções Do Novo App Da Uber,SEJA UM MOTORISTA 99 POP ( aprovação rápida e sem burocracia) https://d.99app.com/ry8dPoZrXytWd?t=mail&share_media=Email.,2018-05-04T04:41:04Z
10,UnXe88OjPjU,2018-01-14T03:18:42Z,UCL9sjSFsQdAKxN9H7LfKLdw,Uber Na Prática (Módulo 2),SEJA UM MOTORISTA 99 POP ( aprovação rápida e sem burocracia) https://d.99app.com/ry8dPoZrXytWd?t=mail&share_media=Email.,2018-01-14T03:18:42Z
11,8cFGdN-wuGs,2019-01-22T22:00:01Z,UCL9sjSFsQdAKxN9H7LfKLdw,Manual Para  Novato,SOLICITE SEU CURSO GRATUITO DE DAY TRADE E AMOSTRA DE OPÇÕES EM http://www.escolaparauber.com.br/ ATENÇÃO: OS CURSOS VÃO SUBIR A ...,2019-01-22T22:00:01Z
12,wZ4iCh1VPpk,2020-03-04T12:40:05Z,UCL9sjSFsQdAKxN9H7LfKLdw,Aprenda a Maior Das Estratégias Gratuitamente,SOLICITE SEU CURSO GRATUITO DE DAY TRADE E AMOSTRA DE OPÇÕES EM http://www.escolaparauber.com.br/ ATENÇÃO: OS CURSOS VÃO SUBIR A ...,2020-03-04T12:40:05Z
13,UbbhzsY2MEU,2019-02-26T16:51:00Z,UCL9sjSFsQdAKxN9H7LfKLdw,Curso Mini ìndice (Parte 2),SOLICITE SEU CURSO GRATUITO DE DAY TRADE E AMOSTRA DE OPÇÕES EM http://www.escolaparauber.com.br/ ATENÇÃO: OS CURSOS VÃO SUBIR A ...,2019-02-26T16:51:00Z
14,JnvGRaOUHNw,2019-07-05T14:05:34Z,UCL9sjSFsQdAKxN9H7LfKLdw,Opere 1 Contrato e Ganhe Mais (Saiba Como),SOLICITE SEU CURSO GRATUITO DE DAY TRADE E AMOSTRA DE OPÇÕES EM http://www.escolaparauber.com.br/ ATENÇÃO: OS CURSOS VÃO SUBIR A ...,2019-07-05T14:05:34Z
15,Vc6bFZkDXJQ,2018-12-31T22:02:28Z,UCL9sjSFsQdAKxN9H7LfKLdw,1º Passo Na Bolsa De Valores,SOLICITE SEU CURSO GRATUITO DE DAY TRADE E AMOSTRA DE OPÇÕES EM http://www.escolaparauber.com.br/ ATENÇÃO: OS CURSOS VÃO SUBIR A ...,2018-12-31T22:02:28Z
16,bbv9JNp9GoE,2019-11-21T15:00:30Z,UCL9sjSFsQdAKxN9H7LfKLdw,Neste Vídeo Revelo a Operação Que Os Ricos Fazem,SOLICITE SEU CURSO GRATUITO DE DAY TRADE E AMOSTRA DE OPÇÕES EM http://www.escolaparauber.com.br/ ATENÇÃO: OS CURSOS VÃO SUBIR A ...,2019-11-21T15:00:30Z
17,wwkEpN8eOkw,2019-11-19T15:26:08Z,UCL9sjSFsQdAKxN9H7LfKLdw,Como NUNCA Mais Ter Que Trabalhar  (O Segredo Dos Ricos Revelado),SOLICITE SEU CURSO GRATUITO DE DAY TRADE E AMOSTRA DE OPÇÕES EM http://www.escolaparauber.com.br/ ATENÇÃO: OS CURSOS VÃO SUBIR A ...,2019-11-19T15:26:08Z
18,f-Hq1AKRHJY,2019-09-15T01:04:48Z,UCL9sjSFsQdAKxN9H7LfKLdw,"Como Alugar Carros Para uber Por R$ 28,88 a Diária",SOLICITE SEU CURSO GRATUITO DE DAY TRADE E AMOSTRA DE OPÇÕES EM http://www.escolaparauber.com.br/ ATENÇÃO: OS CURSOS VÃO SUBIR A ...,2019-09-15T01:04:48Z
19,xR5Ga4ttA4A,2019-02-06T00:17:36Z,UCL9sjSFsQdAKxN9H7LfKLdw,Conta Fake Na Uber (vc já tem a sua?),SOLICITE SEU CURSO GRATUITO DE DAY TRADE E AMOSTRA DE OPÇÕES EM http://www.escolaparauber.com.br/ ATENÇÃO: OS CURSOS VÃO SUBIR A ...,2019-02-06T00:17:36Z
20,8Ps92h-oIj0,2019-02-27T14:54:16Z,UCL9sjSFsQdAKxN9H7LfKLdw,Curso Mini ìndice (Parte 3),SOLICITE SEU CURSO GRATUITO DE DAY TRADE E AMOSTRA DE OPÇÕES EM http://www.escolaparauber.com.br/ ATENÇÃO: OS CURSOS VÃO SUBIR A ...,2019-02-27T14:54:16Z
